System ID,Firstnames,Lastname,Known As,Title,Post Nominals,Person Corporate Type,Record Type,Role,Gender
8456,Esther,McGreggor,Esther,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6286,Norma,Macgregor,Norma,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6414,Sheila,MacGregor,Sheila,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
246,Duncan,McGregor Whyte,,,,Individual,,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",Male
6422,Derek,McGuire,Derek,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6629,Martin,McInally,Martin,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
19,Ian,Macinnes,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",
6395,A,McIntosh,A,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6023,George H,McIntosh,George,,,,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
6871,Lorna,McIntosh,Lorna,,,Individual,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
8836,John,McIntyre,John,The Very Reverend Professor,CVO FRSE,,Person,Subject Person : Sitter,Male
7539,Keith,McIntyre,Keith,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6896,Catherine I.,McIvor,Catherine,,,Individual,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
442,Alastair,Mack,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
7537,Alistair,Mack,Alistair,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
792,Alexander S,Mackay,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
7561,Leonore D,Mackay,Leonore,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Female
7390,Lucinda,Mackay,Lucinda,Lady,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Female
8915,Olivia,McKay,Olivia,,,,Person,"Production Person (pri & sec) : Maker, Production Person (primary) : Maker",
6068,William,Mackay,William,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6924,William D.,MacKay,William,,,Individual,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6577,Hugh Ross,Mackean,Hugh,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
8855,Elle,McKee,Elle,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6390,Graeme,McKenna,Graeme,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
5886,Andrew,Mackenzie,Andrew,,,,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
783,George Findlay,McKenzie,George,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6546,Gwen,Mackenzie,Gwen,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6913,Gwendolene H.,MacKenzie,Gwendolene,,,Individual,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
6627,Kate,McKenzie,Kate,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6477,Patrick,McKenzie Smith,Patrick,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6851,Stuart T.,MacKenzie,Stuart,,,Individual,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
410,Tom,Mackenzie,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",
6289,M,McKeown,M,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6365,Martin G C,McKeown,Martin,,,,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
7549,John H,McKerrell,John,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
6000,Barbara,Mackie,Barbara,,,,Person,"Production Person (pri & sec), Production Person (primary)",
714,Charles Hodge,Mackie,Charles,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
324,George,Mackie,,,,Individual,,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6386,Sylvia,Mackiewicz,Sylvia,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
7042,,McKinnell,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
1521,James,Mackinnon,James,"MA, PhD, DD, DTheol, LLD",,,Person,Subject Person : Sitter,Male
7004,Jamie,Mackinnon,,,,,Person,Cataloguer,
8428,Shona,McKinnon,Shona,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
5938,George,Mackintosh,George,,,,Person,"Production Person (pri & sec), Production Person (primary)",
7954,James,Mackintosh,,Sir,,Individual,Person,Subject Person : Sitter,
7047,Marjorie,McLachlan,Marjorie,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
3449,Andrew Douglas,Maclagan,Douglas,Sir,"PRSE, FRCPE, FRCSE, FCS, FRSSA",,Person,Subject Person : Sitter,Male
7228,Peter,McLaren,Peter,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6025,William,MacLaren,William,,,,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",
8924,Shirley,McLauchlan,Shirley,,,,Person,"Production Person (pri & sec) : Maker, Production Person (primary) : Maker",
219,Robert,MacLauren,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",
6542,Rob,McLaurin,Rob,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
3047,Robert,Maclaurin,Robert,,,,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",Male
6876,Catherine A.,MacLean,Catherine,,,Individual,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
705,John,McLean,,,,Individual,,"Current Owner, Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
6991,John,Maclean,John,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
8974,Rachel,Maclean,Rachel,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
7292,Stephanie,Maclean,Stephanie,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
1509,Talbert,McLean,Talbert,,,Individual,Person,"Production Person (pri & sec), Production Person (pri & sec) : Artist, Production Person (primary), Production Person (primary) : Artist",Male
7546,Will,Maclean,W,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
668,Mrs,McLelland,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",
6585,Ken,McLennan,Ken,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
7257,,McLeod,,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
7265,Alan J,Mcleod,Alan,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6397,Aline,McLeod,Aline,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",
6411,Ruari,MacLeod,Ruari,,,,Person,"Production Person (pri & sec) : Painter, Production Person (pri & sec) : Artist, Production Person (primary) : Painter, Production Person (primary) : Artist",
5995,Ann,Macmillan,Ann,,,,Person,"Production Person (pri & sec), Production Person (primary)",
1543,Duncan,Macmillan,,,,Individual,Person,"Primary Person : Author, Primary Person : Author of Foreword, Reattribution Person",
6468,Wendy,McMurdo,Wendy,,,,Person,"Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Female
7666,Henry J. (?Gray),McNab,,,,Individual,Person,Subject Person : Sitter,
6930,Janice,McNab,Janice,,,Individual,Person,"Production Person (pri & sec) : possibly, Production Person (pri & sec) : Artist, Production Person (primary) : possibly, Production Person (primary) : Artist",
